boundary_index,candidate_id,cohort,material,path,step_cm,volume,x_cm,y_cm,z_cm
12,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z326_0,80.53458683087467,VetoVerticalRib_z326,-78.87345331150934,14.033923890003567,3638.0
13,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_220420_220422,1.5006444751093801,LiScY_220420,-78.91666334771395,14.042092944279625,3639.5
14,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z408_0,80.53458683087467,VetoVerticalRib_z408,-81.23560195736164,14.480498857094826,3720.0
15,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_220520_220522,1.5006444751093801,LiScY_220520,-81.27881199356625,14.488667911370884,3721.5
16,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z490_0,80.53458683087467,VetoVerticalRib_z490,-83.59775060321394,14.927073824186085,3802.0
17,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_220620_220622,1.5006444751093801,LiScY_220620,-83.64096063941855,14.935242878462143,3803.5
18,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z572_0,80.53458683087467,VetoVerticalRib_z572,-85.95989924906624,15.373648791277343,3884.0
19,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_220720_220722,1.5006444751093801,LiScY_220720,-86.00310928527085,15.381817845553401,3885.5
20,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z654_0,80.53458683087467,VetoVerticalRib_z654,-88.32204789491854,15.820223758368602,3966.0
21,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_220820_220822,1.5006444751093801,LiScY_220820,-88.36525793112315,15.82839281264466,3967.5
