variant_id,model_seed,pdg_id,condition,technical_status,nominal_validation_nll,tilted_validation_nll,nominal_target_b_toy,tilted_target_b_toy,training_target_b_toy,generated_b_toy,generated_over_nominal_ratio,generated_over_tilted_ratio,generated_b_toy_standard_error,generated_b_toy_wilson_95_low,generated_b_toy_wilson_95_high,generated_sample_finite_fraction,generated_log_prob_finite_fraction,n_eff,n_eff_over_n_train,nominal_n_eff,top_10_mass,top_100_mass,zero_probability_fraction,expected_unique_rows_per_epoch,empirical_unique_rows_per_epoch_mean,cumulative_unique_source_rows,max_row_reuse,amplification_factor,preprocessing_hash,alias_table_hash,tilted_probability_table_hash,val_nll_under_NOMINAL_PHYSICAL,val_nll_under_UA_d0p9_a04,val_nll_under_UA_d0p9_a08,val_nll_under_UA_d0p1_a01
UA_d0p9_a04,13,13,-1.0,completed_fixture_run,4.869697744709974,4.92248550839799,0.02706050965876211,0.040667660368165943,0.040667660368165943,0.0380859375,1.4074360749398482,0.9365165626742846,0.0021147327462309987,0.03415295992574551,0.042451920973333605,1.0,1.0,645.528908914852,0.063039932511216,638.0180463229602,0.027304777757781267,0.23965609175928612,0.0,1364.2077856584888,1364.3333333333333,9696,24,1.5028416271900435,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,364fc925b4adb91a2eec4cb4ca2571646e993ad92866d774259c7b08b1c7aff8,ec87056b4543c9ccf570f36329c02b4f1f864e19f7a919ceb19021cd32219e37,4.869697744709974,4.92248550839799,4.999646641459048,5.583908568565715
UA_d0p9_a04,13,-13,1.0,completed_fixture_run,4.670796868642843,4.738628512813771,0.02753990489977325,0.0413778635258564,0.0413778635258564,0.020263671875,0.7357930954644234,0.48972252669202065,0.0015567493973580337,0.017429794535676533,0.023547262000629208,1.0,1.0,748.0228306331214,0.07304910455401577,745.7795981103458,0.024893152295041875,0.19533002325069426,9.765625e-05,1302.2050357867151,1293.5666666666666,9285,21,1.5024693685923762,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,c5dbd855ef63ab7770f1093ec37c72832d5bebf836ace07c5e0e4748fa01c943,d50e3ba802fd82ef8b0cc3d73c5463e653f8ef3ab9c7955acfee1f490f967d9d,4.670796868642843,4.738628512813771,4.8380859734576855,5.60318437607117
UA_d0p9_a08,11,13,-1.0,completed_fixture_run,5.5369157735414225,5.645992221051189,0.024185342330643025,0.054441872966413334,0.054441872966413334,0.045166015625,1.8674954031051398,0.8296190627545849,0.0022944302108319193,0.0408782020694848,0.04988019809699743,1.0,1.0,645.9388798895902,0.0630799687392178,630.2635689187982,0.029545918236399696,0.23981861622393363,0.0,1391.800606765299,1402.857142857143,9030,38,2.251027594405188,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,0e543973db3d89fd7da87327f3f015e1e04065650f2793b216093f7ae1f04892,0ea04404860c502467f41a96b301c73fc6a7b91af30fa9059e25abc608245628,5.5369157735414225,5.581111919397363,5.645992221051189,6.14822620165172
UA_d0p9_a08,11,-13,1.0,completed_fixture_run,5.776328644957375,5.8402159143872,0.02638349091943096,0.05922306948812274,0.05922306948812274,0.0396728515625,1.503699858508173,0.6698884726070545,0.002156558979543791,0.03565731895856125,0.04411990246597029,1.0,1.0,732.9061654127219,0.07157286771608612,742.4024658363583,0.033957795123976196,0.20433035473213282,0.0,1327.855258443846,1328.7142857142858,8440,29,2.2447017973844403,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,898d6f8d6ec9e2fc12b0332dd2c9cd3ec8095a400c48c46ee7f2ca572848ded8,62e256ca955c2e8ab12264b983e26dfe12ae9fc05d2ce39ec18b619952285983,5.776328644957375,5.802323445286557,5.8402159143872,6.1231599232871305
UA_d0p9_a08,12,13,-1.0,completed_fixture_run,5.213127194519532,5.278321069899093,0.02351753203630366,0.05298397608964922,0.05298397608964922,0.052734375,2.2423430706332086,0.9952891212009666,0.0024693793870717486,0.0481007127374512,0.057787311473496444,1.0,1.0,627.0767769045768,0.061237966494587584,622.0073054885174,0.03362864600813172,0.250289887937572,0.0,1396.5570223954076,1403.0526315789473,8823,35,2.2529564755289226,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,54912d4bac236844fd2f8ab42a00d7da86f6af7326f1ffaeef4b204a3eac4fbd,3f5e490f701ef2277d1b1659b6bdc3b3faafee664c2ef18ec10645c7fb508048,5.213127194519532,5.2394657692481745,5.278321069899093,5.586962182294905
UA_d0p9_a08,12,-13,1.0,completed_fixture_run,5.1723611989618545,5.345090978704043,0.02143001176741377,0.04841055461300068,0.04841055461300068,0.03955078125,1.8455790729028188,0.8169867411388553,0.002153375488664253,0.035541532877197204,0.04399166235306877,1.0,1.0,719.5793684473905,0.07027142269994048,714.2848458503986,0.02781152004467917,0.2069944247435078,0.0,1335.8104068257128,1327.7368421052631,8231,31,2.2590073742569388,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,337a7f1cd295d7b44893f5d9089434326a22f7fcc158739eb909d6fd255fc88b,faa8137b4c54f81dcaa69ce62194e262c15242cbd1aae23a0dfcb1bf87cc5846,5.1723611989618545,5.243447591799456,5.345090978704043,6.0369537883245785
UA_d0p9_a08,13,13,-1.0,completed_fixture_run,4.9128498304256105,5.028043790754683,0.02706050965876211,0.06069024593026729,0.06069024593026729,0.05322265625,1.966801694467224,0.8769556859458519,0.0024801458970917668,0.04856769764394068,0.05829643134406925,1.0,1.0,648.7321426096595,0.06335274830172456,638.0180463229602,0.032271775022396,0.24019102499544187,0.0,1392.3659832292212,1388.5,8885,38,2.242760638863872,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,a89873ba89580143bdf245d149e7a82b537e7ed31610a9f443e108e2be61422c,4d1b9bda1ee9b032207399df4ab5a5f10bff4c707b173c55340333c42e734c8d,4.9128498304256105,4.959643852600955,5.028043790754683,5.5459661966899425
UA_d0p9_a08,13,-13,1.0,completed_fixture_run,4.509652311494841,4.658464305472484,0.02753990489977325,0.06172761617968561,0.06172761617968561,0.020263671875,0.7357930954644234,0.3282756265204474,0.0015567493973580337,0.017429794535676533,0.023547262000629208,1.0,1.0,737.4222038788039,0.07201388709753945,745.7795981103458,0.03324948083472835,0.2000682962134493,9.765625e-05,1316.7623638594607,1319.5,8225,32,2.2413881385695653,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,49861eeb9a41bd7f29bd05e42ec91ec65902ed483ed57c86799b03b87557dd60,193f10b69d65c0f0600e44e27b55384714db1fe57fb26dfa5807a641f6d35c6a,4.509652311494841,4.5699919387229855,4.658464305472484,5.339057455923256
UA_d0p1_a01,11,13,-1.0,completed_fixture_run,5.534043047271909,5.858588776093085,0.024185342330643025,0.19862015526646576,0.19862015526646576,0.157958984375,6.531186625994732,0.7952817485369732,0.004029431876074238,0.1502219841078746,0.16601661955999533,1.0,1.0,496.51113967862636,0.048487415984240854,630.2635689187982,0.06828520679818688,0.24649561739832315,0.0,1523.4843820350861,1529.5714285714287,9308,115,8.212418602601808,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,6ace65b3f918c6cdd0b8f347cf4653100b68dcf2416ca2351705ad5c49874b17,3aeb377c0ff114da8760ff0bfbd1f98a3a9463cd01e9478b0b099d9c163e72a7,5.534043047271909,5.557506855033609,5.591951915706744,5.858588776093085
UA_d0p1_a01,11,-13,1.0,completed_fixture_run,6.291401196603331,6.188739841000069,0.02638349091943096,0.21320829674438435,0.21320829674438435,0.1124267578125,4.261254060572392,0.5273094880884891,0.003490132958625008,0.1057670727728218,0.11944976043399008,1.0,1.0,390.4022630689294,0.03812522100282514,742.4024658363583,0.1218588199538912,0.26434500558897583,0.0,1393.447266660313,1399.0714285714287,8811,87,8.08112532930054,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,f9e8634fafc7d4a5d3ed1af85864441ced5b24b82f248c558636bfd59820b2ee,ce43d5b141782ccbea0aeb01b91e82a65d486af50084024d4fb6b575aadeebab,6.291401196603331,6.283706788379014,6.272490694306532,6.188739841000069
UA_d0p1_a01,12,13,-1.0,completed_fixture_run,5.824534190750032,5.900388244083948,0.02351753203630366,0.19409384615750908,0.19409384615750908,0.1402587890625,5.9640096948091585,0.7226338796371659,0.0038366655551637955,0.1329075483213297,0.1479472571780324,1.0,1.0,409.5851145359257,0.039998546341398995,622.0073054885174,0.08244291083358546,0.2668206021941933,0.0,1490.252350650883,1484.0,8009,108,8.253155384582419,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,bdc783f9310e07201b05807b19ec521216772e22f9e15026e6277f51e21f5fe1,08b336800986f405cd996a98bf67713ecc7a79de0e596019ae9b524a1f6375b4,5.824534190750032,5.829878494299827,5.837762539785831,5.900388244083948
UA_d0p1_a01,12,-13,1.0,completed_fixture_run,5.038627606274491,5.566699748589586,0.02143001176741377,0.17965084095325196,0.17965084095325196,0.128173828125,5.98104329181469,0.713460774493969,0.0036933431246136245,0.12110888517242181,0.13558732709464874,1.0,1.0,479.4774778706877,0.046823972448309346,714.2848458503986,0.0857670732258258,0.24023762341720342,0.0,1427.7562265524525,1426.3529411764705,7474,92,8.383142431420731,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,aba58e1105f91a287d9dbf53b27dca750a107dfe1b38a8ad9e62b95e728a022c,cc7d10211eed4454be8f8a54bd1761e486fd4c16582aedec0ce76d1044947c7b,5.038627606274491,5.082045447483233,5.14412675807419,5.566699748589586
UA_d0p1_a01,13,13,-1.0,completed_fixture_run,5.097228277322942,5.3933109973744795,0.02706050965876211,0.21760787625309486,0.21760787625309486,0.160888671875,5.945515214008719,0.7393513260883718,0.004059546810278952,0.15309132770746078,0.16900390462278284,1.0,1.0,440.02166757288643,0.04297086597391469,638.0180463229602,0.0836781233287647,0.2568631486619502,0.0,1517.3650278551272,1516.85,8379,96,8.041529113722147,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,00d5c71f75cf80bd003da5670eef983196d4c486c1997b7d00dcfb662a67b8af,224132a98f67a78f9d5d93906626d2331e7a6295f7240c91f7fda7ce5bd1e205,5.097228277322942,5.119111934271471,5.151099797512803,5.3933109973744795
UA_d0p1_a01,13,-13,1.0,completed_fixture_run,4.735041622137806,5.194717974939909,0.02753990489977325,0.22069722396177205,0.22069722396177205,0.1356201171875,4.9244947533793635,0.6145075808066864,0.0037828525304048825,0.1283764208498635,0.1432053892674069,1.0,1.0,394.3327549168536,0.03850905809734899,745.7795981103458,0.1184967747602113,0.267036186715385,9.765625e-05,1377.4313545804034,1380.5,7683,81,8.013724984344051,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,f03a34ac8ee61574b6bdc72310593ec64eac3dadaadf7ae324e0293d56de199f,8a86855e79c5ce00001456c57b2a124d7ec7d45120e117b8ff2ff267ab7378fb,4.735041622137806,4.768483300140403,4.817516821507342,5.194717974939909
